prompt_id,annotator1,annotator2
climate_change1.0-10666,9,9.0
climate_change1.0-10670,2,2.0
climate_change1.0-10671,1,1.0
climate_change1.0-10679,3,3.0
climate_change1.0-10686,13,13.0
climate_change1.0-1069,13,13.0
climate_change1.0-10694,13,13.0
climate_change1.0-10696,1,1.0
climate_change1.0-10705,5,5.0
climate_change1.0-10710,6,6.0
climate_change1.0-10711,3,3.0
climate_change1.0-10712,6,6.0
climate_change1.0-10713,6,6.0
climate_change1.0-10717,14,14.0
climate_change1.0-10718,14,14.0
climate_change1.0-10720,2,2.0
climate_change1.0-10723,1,1.0
climate_change1.0-10725,13,13.0
climate_change1.0-10726,14,14.0
climate_change1.0-10727,13,13.0
climate_change1.0-1073,13,13.0
climate_change1.0-10731,14,14.0
climate_change1.0-10732,14,14.0
climate_change1.0-10734,10,10.0
climate_change1.0-10743,1,1.0
climate_change1.0-10744,14,14.0
climate_change1.0-10751,10,10.0
climate_change1.0-10752,12,12.0
climate_change1.0-10756,2,2.0
climate_change1.0-10757,2,2.0
climate_change1.0-1076,1,1.0
climate_change1.0-10762,14,14.0
climate_change1.0-10767,2,2.0
climate_change1.0-10768,6,6.0
climate_change1.0-10774,6,6.0
climate_change1.0-10779,1,1.0
climate_change1.0-10781,13,13.0
climate_change1.0-10782,13,13.0
climate_change1.0-10785,6,6.0
climate_change1.0-10786,14,14.0
climate_change1.0-10787,13,13.0
climate_change1.0-10788,14,14.0
climate_change1.0-1079,2,2.0
climate_change1.0-10790,2,2.0
climate_change1.0-10792,2,2.0
climate_change1.0-10797,14,14.0
climate_change1.0-10799,14,14.0
climate_change1.0-1080,5,5.0
climate_change1.0-10800,14,14.0
climate_change1.0-10801,14,14.0
climate_change1.0-10802,14,14.0
climate_change1.0-10805,2,2.0
climate_change1.0-10808,13,13.0
climate_change1.0-10809,2,2.0
climate_change1.0-10814,2,2.0
climate_change1.0-10826,13,13.0
climate_change1.0-10829,2,2.0
climate_change1.0-10837,1,1.0
climate_change1.0-10839,2,2.0
climate_change1.0-1084,1,1.0
climate_change1.0-10846,14,14.0
climate_change1.0-10849,2,2.0
climate_change1.0-10852,14,14.0
climate_change1.0-10854,2,2.0
climate_change1.0-10855,6,6.0
climate_change1.0-10857,6,6.0
climate_change1.0-10861,2,2.0
climate_change1.0-10863,2,2.0
climate_change1.0-10867,2,2.0
climate_change1.0-10874,14,14.0
climate_change1.0-10876,13,13.0
climate_change1.0-10878,2,2.0
climate_change1.0-10881,13,6.0
climate_change1.0-10885,13,13.0
climate_change1.0-10888,1,1.0
climate_change1.0-10890,9,9.0
climate_change1.0-10893,1,1.0
climate_change1.0-10895,1,1.0
climate_change1.0-10907,2,2.0
climate_change1.0-10910,14,14.0
climate_change1.0-10912,13,13.0
climate_change1.0-10913,2,2.0
climate_change1.0-10915,2,2.0
climate_change1.0-10921,13,
climate_change1.0-10922,2,2.0
climate_change1.0-10924,2,2.0
climate_change1.0-10928,14,14.0
climate_change1.0-10930,13,
climate_change1.0-10935,2,
climate_change1.0-10936,10,10.0
climate_change1.0-10938,2,2.0
climate_change1.0-1094,13,13.0
climate_change1.0-10941,1,
climate_change1.0-10947,10,10.0
climate_change1.0-10952,12,12.0
climate_change1.0-10953,6,6.0
climate_change1.0-10962,10,10.0
climate_change1.0-10965,2,2.0
climate_change1.0-10968,14,14.0
climate_change1.0-10970,13,13.0
climate_change1.0-10972,13,13.0
climate_change1.0-10974,1,1.0
climate_change1.0-10975,12,12.0
climate_change1.0-10983,13,13.0
climate_change1.0-10984,14,14.0
climate_change1.0-10995,1,1.0
climate_change1.0-10999,2,2.0
climate_change1.0-11002,6,6.0
climate_change1.0-11005,14,14.0
climate_change1.0-11006,2,2.0
climate_change1.0-11007,13,13.0
climate_change1.0-11010,1,1.0
climate_change1.0-11026,2,2.0
climate_change1.0-11030,14,14.0
climate_change1.0-11035,2,2.0
climate_change1.0-11036,2,2.0
climate_change1.0-11039,14,14.0
climate_change1.0-11040,13,14.0
climate_change1.0-11041,13,13.0
climate_change1.0-11043,6,6.0
climate_change1.0-11044,3,3.0
climate_change1.0-11047,14,14.0
climate_change1.0-11048,13,13.0
climate_change1.0-11049,2,2.0
climate_change1.0-11051,11,11.0
climate_change1.0-11053,2,2.0
climate_change1.0-11055,2,2.0
climate_change1.0-11057,13,13.0
climate_change1.0-11058,13,2.0
climate_change1.0-11061,13,13.0
climate_change1.0-11062,14,14.0
climate_change1.0-11067,2,2.0
climate_change1.0-11069,2,2.0
climate_change1.0-11074,2,2.0
climate_change1.0-11078,1,1.0
climate_change1.0-11080,9,9.0
climate_change1.0-11082,3,3.0
climate_change1.0-11083,2,2.0
climate_change1.0-11086,13,13.0
climate_change1.0-11088,10,10.0
climate_change1.0-1109,14,14.0
climate_change1.0-11091,11,11.0
climate_change1.0-11094,14,14.0
climate_change1.0-11097,12,12.0
climate_change1.0-11109,14,14.0
climate_change1.0-11110,1,1.0
climate_change1.0-11113,14,14.0
climate_change1.0-11116,13,13.0
climate_change1.0-1112,9,9.0
climate_change1.0-11121,2,2.0
climate_change1.0-11132,1,1.0
climate_change1.0-11133,14,14.0
climate_change1.0-11141,6,6.0
climate_change1.0-11143,14,14.0
climate_change1.0-11144,14,14.0
climate_change1.0-11148,6,6.0
climate_change1.0-1115,2,2.0
climate_change1.0-11150,5,5.0
climate_change1.0-11158,14,14.0
climate_change1.0-11164,2,2.0
climate_change1.0-11176,14,13.0
climate_change1.0-11178,10,10.0
climate_change1.0-11189,13,13.0
climate_change1.0-11195,2,2.0
climate_change1.0-11196,9,9.0
climate_change1.0-11201,2,2.0
climate_change1.0-11203,6,6.0
climate_change1.0-11206,3,3.0
climate_change1.0-11211,11,11.0
climate_change1.0-11217,13,13.0
climate_change1.0-11232,13,13.0
climate_change1.0-11236,2,2.0
climate_change1.0-11237,13,11.0
climate_change1.0-11238,2,2.0
climate_change1.0-1124,13,13.0
climate_change1.0-11240,3,3.0
climate_change1.0-11242,12,12.0
climate_change1.0-1125,10,10.0
climate_change1.0-11259,13,13.0
climate_change1.0-1126,9,8.0
climate_change1.0-11267,13,13.0
climate_change1.0-1127,12,12.0
climate_change1.0-11275,11,11.0
climate_change1.0-11276,13,13.0
climate_change1.0-11282,2,2.0
climate_change1.0-11289,9,9.0
climate_change1.0-11292,14,14.0
climate_change1.0-11294,2,2.0
climate_change1.0-11298,2,2.0
climate_change1.0-11303,2,2.0
climate_change1.0-11307,2,2.0
climate_change1.0-11310,2,2.0
climate_change1.0-11312,2,2.0
climate_change1.0-11313,13,13.0
climate_change1.0-11314,10,10.0
climate_change1.0-11321,14,14.0
climate_change1.0-11323,14,14.0
climate_change1.0-11324,2,2.0
climate_change1.0-11327,14,14.0
climate_change1.0-11332,2,2.0
climate_change1.0-11333,13,13.0
climate_change1.0-11340,2,2.0
climate_change1.0-1136,14,14.0
climate_change1.0-1137,11,11.0
climate_change1.0-11370,1,1.0
climate_change1.0-11372,2,2.0
climate_change1.0-11377,6,6.0
climate_change1.0-1138,14,14.0
climate_change1.0-11381,14,14.0
climate_change1.0-11383,14,14.0
climate_change1.0-11384,1,1.0
climate_change1.0-11387,1,1.0
climate_change1.0-11392,2,2.0
climate_change1.0-11395,2,2.0
climate_change1.0-11401,6,6.0
climate_change1.0-11403,2,2.0
climate_change1.0-11406,2,2.0
climate_change1.0-11408,2,2.0
climate_change1.0-1141,14,14.0
climate_change1.0-11414,1,
climate_change1.0-11416,13,13.0
climate_change1.0-11422,6,6.0
climate_change1.0-11423,13,13.0
climate_change1.0-11425,13,6.0
climate_change1.0-11434,13,13.0
climate_change1.0-11438,14,14.0
climate_change1.0-11449,6,6.0
climate_change1.0-1145,2,2.0
climate_change1.0-11450,1,1.0
climate_change1.0-11456,14,14.0
climate_change1.0-11457,1,1.0
climate_change1.0-11458,2,2.0
climate_change1.0-11460,2,2.0
climate_change1.0-11461,14,14.0
climate_change1.0-11463,14,14.0
climate_change1.0-11465,14,14.0
climate_change1.0-11466,14,14.0
climate_change1.0-11469,2,2.0
climate_change1.0-11470,13,13.0
climate_change1.0-11471,14,14.0
climate_change1.0-11472,14,14.0
climate_change1.0-11475,13,13.0
climate_change1.0-11479,14,14.0
climate_change1.0-11483,14,14.0
climate_change1.0-11489,13,13.0
climate_change1.0-11492,13,13.0
climate_change1.0-11494,2,2.0
climate_change1.0-11495,2,2.0
climate_change1.0-11496,11,11.0
climate_change1.0-11499,13,13.0
climate_change1.0-11502,14,14.0
climate_change1.0-11503,14,14.0
climate_change1.0-11504,2,2.0
climate_change1.0-11507,13,13.0
climate_change1.0-11511,14,14.0
climate_change1.0-11514,2,2.0
climate_change1.0-11516,14,14.0
climate_change1.0-11517,14,14.0
climate_change1.0-11519,13,13.0
climate_change1.0-11521,1,1.0
climate_change1.0-11529,1,
climate_change1.0-1153,11,11.0
climate_change1.0-11530,14,14.0
climate_change1.0-11536,6,6.0
climate_change1.0-11538,14,14.0
climate_change1.0-1154,2,2.0
climate_change1.0-11542,13,13.0
climate_change1.0-11544,13,13.0
climate_change1.0-11545,13,13.0
climate_change1.0-1155,2,2.0
climate_change1.0-11550,14,14.0
climate_change1.0-11552,13,
climate_change1.0-11553,14,14.0
climate_change1.0-11554,2,2.0
climate_change1.0-11556,14,14.0
climate_change1.0-1156,13,13.0
climate_change1.0-11561,14,14.0
climate_change1.0-11562,6,6.0
climate_change1.0-11564,14,6.0
climate_change1.0-11565,10,10.0
climate_change1.0-11569,2,2.0
climate_change1.0-11578,10,10.0
climate_change1.0-11581,14,14.0
climate_change1.0-11589,1,
climate_change1.0-1159,2,2.0
climate_change1.0-11592,10,10.0
climate_change1.0-11593,2,2.0
climate_change1.0-1160,2,2.0
climate_change1.0-11601,14,14.0
climate_change1.0-11603,14,14.0
climate_change1.0-11610,10,10.0
climate_change1.0-11611,14,14.0
climate_change1.0-11612,2,2.0
climate_change1.0-11615,11,11.0
climate_change1.0-11620,2,2.0
climate_change1.0-11621,6,6.0
climate_change1.0-11623,2,2.0
climate_change1.0-11632,1,1.0
climate_change1.0-11637,6,6.0
climate_change1.0-11647,10,10.0
climate_change1.0-11649,13,13.0
climate_change1.0-11652,2,2.0
climate_change1.0-11653,14,14.0
climate_change1.0-11655,14,14.0
climate_change1.0-11656,14,14.0
climate_change1.0-11663,13,13.0
climate_change1.0-11666,13,13.0
climate_change1.0-11667,13,13.0
climate_change1.0-11673,6,6.0
climate_change1.0-11676,1,1.0
climate_change1.0-11677,2,2.0
climate_change1.0-11682,14,14.0
climate_change1.0-11683,2,2.0
climate_change1.0-11686,13,13.0
climate_change1.0-11687,1,1.0
climate_change1.0-11688,14,14.0
climate_change1.0-1169,9,9.0
climate_change1.0-11690,13,13.0
climate_change1.0-11691,14,14.0
climate_change1.0-117,9,9.0
climate_change1.0-11703,13,13.0
climate_change1.0-11704,14,14.0
climate_change1.0-11706,13,13.0
climate_change1.0-1171,1,
climate_change1.0-11716,1,1.0
climate_change1.0-11718,2,2.0
climate_change1.0-11724,13,13.0
climate_change1.0-11728,13,13.0
climate_change1.0-11729,1,1.0
climate_change1.0-11730,2,2.0
climate_change1.0-11732,1,1.0
climate_change1.0-11733,6,6.0
climate_change1.0-11738,14,14.0
climate_change1.0-11741,11,11.0
climate_change1.0-11747,13,13.0
climate_change1.0-11751,2,2.0
climate_change1.0-11755,13,13.0
climate_change1.0-11758,14,14.0
climate_change1.0-11759,13,13.0
climate_change1.0-1176,13,13.0
climate_change1.0-11761,2,2.0
climate_change1.0-11763,1,1.0
climate_change1.0-11764,11,11.0
climate_change1.0-11766,14,14.0
climate_change1.0-11767,14,14.0
climate_change1.0-11768,11,11.0
climate_change1.0-11770,13,13.0
climate_change1.0-11774,13,13.0
climate_change1.0-11776,11,11.0
climate_change1.0-11787,13,13.0
climate_change1.0-11802,1,1.0
climate_change1.0-11812,1,1.0
climate_change1.0-11814,13,13.0
climate_change1.0-11820,13,13.0
climate_change1.0-11821,14,14.0
climate_change1.0-11822,8,8.0
climate_change1.0-1183,1,1.0
climate_change1.0-11845,14,14.0
climate_change1.0-11846,13,13.0
climate_change1.0-11848,2,2.0
climate_change1.0-11851,12,12.0
climate_change1.0-11856,2,2.0
climate_change1.0-11863,14,14.0
climate_change1.0-11865,13,13.0
climate_change1.0-11871,1,1.0
climate_change1.0-11873,1,1.0
climate_change1.0-11875,13,13.0
climate_change1.0-1188,2,2.0
climate_change1.0-11881,13,13.0
climate_change1.0-11886,14,14.0
climate_change1.0-11889,5,5.0
climate_change1.0-1189,5,5.0
climate_change1.0-11891,13,13.0
climate_change1.0-11893,6,6.0
climate_change1.0-11894,13,13.0
climate_change1.0-11898,1,1.0
climate_change1.0-11902,2,13.0
climate_change1.0-1191,1,1.0
climate_change1.0-11921,11,11.0
climate_change1.0-11928,2,2.0
climate_change1.0-11933,11,11.0
climate_change1.0-11937,3,3.0
climate_change1.0-11938,2,2.0
climate_change1.0-11947,2,2.0
climate_change1.0-11948,1,1.0
climate_change1.0-11955,11,11.0
climate_change1.0-11956,13,13.0
climate_change1.0-1196,14,14.0
climate_change1.0-11962,13,13.0
climate_change1.0-11965,2,2.0
climate_change1.0-11966,2,2.0
climate_change1.0-11973,6,6.0
climate_change1.0-11985,13,13.0
climate_change1.0-11988,14,14.0
climate_change1.0-11991,1,1.0
climate_change1.0-11994,2,2.0
climate_change1.0-12,14,14.0
climate_change1.0-120,13,13.0
climate_change1.0-12000,14,14.0
climate_change1.0-12001,14,14.0
climate_change1.0-12007,14,14.0
climate_change1.0-12008,13,13.0
climate_change1.0-1201,8,8.0
climate_change1.0-12014,6,6.0
climate_change1.0-12017,2,
climate_change1.0-12020,10,10.0
climate_change1.0-12022,5,5.0
climate_change1.0-12027,2,2.0
climate_change1.0-12034,13,13.0
climate_change1.0-12035,7,7.0
climate_change1.0-12036,14,14.0
climate_change1.0-12037,14,14.0
climate_change1.0-1204,9,9.0
climate_change1.0-12041,2,2.0
climate_change1.0-12045,2,2.0
climate_change1.0-12051,13,13.0
climate_change1.0-12053,2,2.0
climate_change1.0-12055,13,13.0
climate_change1.0-12056,5,5.0
climate_change1.0-12057,3,3.0
climate_change1.0-12058,2,2.0
climate_change1.0-12063,14,14.0
climate_change1.0-12065,2,2.0
climate_change1.0-12068,15,15.0
climate_change1.0-12073,12,12.0
climate_change1.0-12077,14,14.0
climate_change1.0-12079,14,14.0
climate_change1.0-12081,14,14.0
climate_change1.0-12086,14,14.0
climate_change1.0-12087,13,14.0
climate_change1.0-1209,4,4.0
climate_change1.0-12090,2,
climate_change1.0-12092,2,2.0
climate_change1.0-121,14,14.0
climate_change1.0-12103,2,2.0
climate_change1.0-12104,6,6.0
climate_change1.0-12105,14,14.0
climate_change1.0-12120,9,9.0
climate_change1.0-12122,14,
climate_change1.0-12125,14,14.0
climate_change1.0-1213,14,14.0
climate_change1.0-12138,13,13.0
climate_change1.0-12145,12,12.0
climate_change1.0-12151,12,12.0
climate_change1.0-12153,13,13.0
climate_change1.0-12154,13,13.0
climate_change1.0-12157,12,12.0
climate_change1.0-12158,10,10.0
climate_change1.0-12159,2,2.0
climate_change1.0-1216,6,6.0
climate_change1.0-12168,14,14.0
climate_change1.0-12172,2,2.0
climate_change1.0-12174,2,2.0
climate_change1.0-12177,13,13.0
climate_change1.0-12181,13,13.0
climate_change1.0-12191,10,10.0
climate_change1.0-12194,2,2.0
climate_change1.0-12197,13,13.0
climate_change1.0-122,12,12.0
climate_change1.0-12200,13,13.0
climate_change1.0-12207,14,14.0
climate_change1.0-12208,14,14.0
climate_change1.0-12209,10,10.0
climate_change1.0-12211,13,13.0
climate_change1.0-12216,13,13.0
climate_change1.0-1223,1,1.0
climate_change1.0-12231,6,6.0
climate_change1.0-12234,5,5.0
climate_change1.0-12238,6,6.0
climate_change1.0-12239,13,13.0
climate_change1.0-12244,14,14.0
climate_change1.0-12246,6,6.0
climate_change1.0-12247,6,6.0
climate_change1.0-12249,13,13.0
climate_change1.0-1225,1,1.0
climate_change1.0-12253,14,5.0
climate_change1.0-12256,14,14.0
climate_change1.0-12259,10,10.0
climate_change1.0-12260,6,6.0
climate_change1.0-12262,13,13.0
climate_change1.0-12265,2,2.0
climate_change1.0-12271,13,13.0
climate_change1.0-12274,13,13.0
climate_change1.0-1228,13,13.0
climate_change1.0-12284,2,2.0
climate_change1.0-12285,10,10.0
climate_change1.0-12290,2,
climate_change1.0-12292,13,13.0
climate_change1.0-12295,13,13.0
climate_change1.0-12308,2,2.0
climate_change1.0-12309,2,2.0
climate_change1.0-1231,13,13.0
climate_change1.0-12313,2,7.0
climate_change1.0-1232,1,5.0
climate_change1.0-12320,14,14.0
climate_change1.0-12323,6,6.0
climate_change1.0-12327,2,2.0
climate_change1.0-12329,9,9.0
climate_change1.0-1233,2,2.0
climate_change1.0-12330,13,13.0
climate_change1.0-12331,6,6.0
climate_change1.0-12334,10,10.0
climate_change1.0-1234,2,6.0
climate_change1.0-12342,14,14.0
climate_change1.0-12343,14,14.0
climate_change1.0-12347,2,2.0
climate_change1.0-12350,2,11.0
climate_change1.0-12353,2,2.0
climate_change1.0-12363,6,6.0
climate_change1.0-12366,12,12.0
climate_change1.0-12367,6,6.0
climate_change1.0-12373,1,1.0
climate_change1.0-12376,10,10.0
climate_change1.0-12383,13,14.0
climate_change1.0-12387,13,13.0
climate_change1.0-12388,6,6.0
climate_change1.0-12389,1,1.0
climate_change1.0-12391,6,6.0
climate_change1.0-12398,6,6.0
climate_change1.0-124,14,14.0
climate_change1.0-12400,6,6.0
climate_change1.0-12401,14,14.0
climate_change1.0-12405,6,6.0
climate_change1.0-12406,6,6.0
climate_change1.0-12407,6,6.0
climate_change1.0-12409,13,
climate_change1.0-12417,2,2.0
climate_change1.0-12418,12,12.0
climate_change1.0-12421,1,1.0
climate_change1.0-12427,1,1.0
climate_change1.0-12429,14,14.0
climate_change1.0-12440,2,2.0
climate_change1.0-12443,5,5.0
climate_change1.0-12445,6,6.0
climate_change1.0-12447,1,1.0
climate_change1.0-12448,13,13.0
climate_change1.0-12455,13,13.0
climate_change1.0-12457,1,1.0
climate_change1.0-12460,6,6.0
climate_change1.0-12461,14,14.0
climate_change1.0-12462,2,2.0
climate_change1.0-12468,1,1.0
climate_change1.0-12469,2,2.0
climate_change1.0-12470,2,2.0
climate_change1.0-12486,6,6.0
climate_change1.0-12488,13,13.0
climate_change1.0-1249,14,14.0
climate_change1.0-12490,2,2.0
climate_change1.0-12495,13,13.0
climate_change1.0-12499,1,1.0
climate_change1.0-125,12,12.0
climate_change1.0-12502,2,2.0
climate_change1.0-12505,13,13.0
climate_change1.0-12513,13,13.0
climate_change1.0-12514,1,1.0
climate_change1.0-12518,13,13.0
climate_change1.0-12519,13,13.0
climate_change1.0-12520,6,6.0
climate_change1.0-12525,13,13.0
climate_change1.0-1253,6,6.0
climate_change1.0-12543,2,2.0
climate_change1.0-12547,6,6.0
climate_change1.0-1255,5,5.0
climate_change1.0-12553,14,14.0
climate_change1.0-12554,12,12.0
climate_change1.0-12560,1,1.0
climate_change1.0-12567,12,12.0
climate_change1.0-12571,2,2.0
climate_change1.0-12580,14,14.0
climate_change1.0-12583,1,1.0
climate_change1.0-12584,6,6.0
climate_change1.0-12585,1,1.0
climate_change1.0-12587,11,11.0
climate_change1.0-12589,2,2.0
climate_change1.0-1259,1,1.0
climate_change1.0-12594,13,13.0
climate_change1.0-12597,1,1.0
climate_change1.0-1261,13,13.0
climate_change1.0-12610,13,13.0
climate_change1.0-12611,14,14.0
climate_change1.0-12619,14,14.0
climate_change1.0-12624,6,6.0
climate_change1.0-12625,2,2.0
climate_change1.0-12629,6,6.0
climate_change1.0-12632,6,6.0
climate_change1.0-12634,1,1.0
climate_change1.0-12635,13,13.0
climate_change1.0-12647,13,13.0
climate_change1.0-12649,6,6.0
climate_change1.0-12652,2,2.0
climate_change1.0-12658,2,2.0
climate_change1.0-12659,13,13.0
climate_change1.0-1266,2,2.0
climate_change1.0-12661,13,13.0
climate_change1.0-12672,13,13.0
climate_change1.0-12675,12,12.0
climate_change1.0-12683,1,2.0
climate_change1.0-12686,2,2.0
climate_change1.0-12689,1,1.0
climate_change1.0-12694,13,
climate_change1.0-12697,6,6.0
climate_change1.0-12698,6,6.0
climate_change1.0-12699,2,2.0
climate_change1.0-127,10,10.0
climate_change1.0-12702,13,13.0
climate_change1.0-12706,6,6.0
climate_change1.0-12710,5,5.0
climate_change1.0-12711,13,13.0
climate_change1.0-12719,2,2.0
climate_change1.0-12721,6,6.0
climate_change1.0-12723,13,13.0
climate_change1.0-12741,14,14.0
climate_change1.0-12745,6,
climate_change1.0-12747,2,2.0
climate_change1.0-12748,2,2.0
climate_change1.0-1275,11,11.0
climate_change1.0-12754,8,8.0
climate_change1.0-12755,2,2.0
climate_change1.0-1276,13,13.0
climate_change1.0-12761,2,2.0
